Region,site,ID,Microsite,x,y,z,rdm.cov,PF
Mojave,M3,2,ephedra,215,180,110,3,Y
Mojave,M3,2,larrea,155,140,115,5,Y
Mojave,M3,2,open,,,,4,Y
Mojave,M3,3,ephedra,175,120,80,5,
Mojave,M3,3,larrea,225,120,150,20,
Mojave,M3,3,open,,,,0,
Mojave,M3,4,ephedra,195,145,105,5,
Mojave,M3,4,larrea,245,175,155,15,
Mojave,M3,4,open,,,,4,
Mojave,M3,5,ephedra,140,115,80,4,
Mojave,M3,5,larrea,115,80,175,8,
Mojave,M3,5,open,,,,0,
Mojave,M3,6,ephedra,140,95,65,8,Y
Mojave,M3,6,larrea,370,255,130,6,Y
Mojave,M3,6,open,,,,5,Y
Mojave,M3,7,ephedra,115,65,60,10,
Mojave,M3,7,larrea,255,220,155,15,
Mojave,M3,7,open,,,,1,
Mojave,M3,8,ephedra,75,40,55,10,
Mojave,M3,8,larrea,245,165,165,25,
Mojave,M3,8,open,,,,4,
Mojave,M3,9,ephedra,75,60,55,10,
Mojave,M3,9,larrea,95,90,55,8,
Mojave,M3,9,open,,,,2,
Mojave,M3,10,ephedra,135,55,55,30,Y
Mojave,M3,10,larrea,160,95,75,15,Y
Mojave,M3,10,open,,,,3,N
Mojave,M3,11,ephedra,145,140,80,20,
Mojave,M3,11,larrea,185,150,150,20,
Mojave,M3,11,open,,,,3,
Mojave,M3,12,ephedra,110,85,55,15,
Mojave,M3,12,larrea,150,135,95,35,
Mojave,M3,12,open,,,,3,
Mojave,M3,13,ephedra,85,55,60,5,
Mojave,M3,13,larrea,240,471,110,25,
Mojave,M3,13,open,,,,3,
Mojave,M3,14,ephedra,135,115,85,61,Y
Mojave,M3,14,larrea,220,155,140,10,Y
Mojave,M3,14,open,,,,0,N
Mojave,M3,15,ephedra,75,60,55,15,
Mojave,M3,15,larrea,275,270,170,20,
Mojave,M3,15,open,,,,3,
Mojave,M3,16,ephedra,115,95,65,20,
Mojave,M3,16,larrea,210,175,135,20,
Mojave,M3,16,open,,,,2,
Mojave,M3,17,ephedra,100,85,75,15,
Mojave,M3,17,larrea,240,170,90,25,
Mojave,M3,17,open,,,,3,
Mojave,M3,18,ephedra,95,60,55,15,Y
Mojave,M3,18,larrea,145,130,85,20,Y
Mojave,M3,18,open,,,,2,Y
Mojave,M3,19,ephedra,85,60,55,15,
Mojave,M3,19,larrea,295,245,155,25,
Mojave,M3,19,open,,,,2,
Mojave,M3,20,ephedra,115,105,50,15,
Mojave,M3,20,larrea,420,250,155,30,
Mojave,M3,20,open,,,,0,
Mojave,M3,21,ephedra,125,85,70,15,
Mojave,M3,21,larrea,120,70,75,15,
Mojave,M3,21,open,,,,3,
Mojave,M3,22,ephedra,105,85,70,8,Y
Mojave,M3,22,larrea,190,140,105,25,N
